node,in_degree,out_degree,pagerank,betweenness,clustering
karali_pics,22,0,0.0005548746731758209,0.0,0.021645021645021644
linuskaikai,31,0,0.00054345915623174,0.0,0.002150537634408602
ashleik_,69,0,0.0005377272674021603,0.0,0.0
treasonousbabe,82,0,0.0005360725057251721,0.0,0.0009493670886075949
mrjameske,66,1,0.0005330765318103976,1.580049495526366e-05,0.0027137042062415195
wenawen0,66,6,0.0005326794955636434,0.00019837417167514268,0.0011737089201877935
jamessmat,8,0,0.0005319237031781673,0.0,0.14285714285714285
npsofficial_k,5,0,0.0005281549444931876,0.0,0.4
morarakebasosnr,11,0,0.0005272733014444212,0.0,0.05454545454545454
wa_anyamah,49,0,0.0005263772887470624,0.0,0.0
anuarsaddat,73,0,0.0005256377808856651,0.0,0.0
naimatapeigitau,58,2,0.0005216332393208118,3.807348181991243e-07,0.0
onorpik,55,0,0.0005201455351867211,0.0,0.0013468013468013469
jimmykings8,68,0,0.0005186947645414475,0.0,0.0
amerix,67,0,0.0005139428948053206,0.0,0.0004522840343735866
ig_nps,24,0,0.0005136374284767452,0.0,0.07246376811594203
okiogaterry,54,0,0.0005130787156630141,0.0,0.0006988120195667365
kipngetichmanu3,55,0,0.0005099284887317517,0.0,0.0
ill_dduor,4,0,0.0005098599055585483,0.0,0.3333333333333333
estherkazungu,91,0,0.0005045078832081146,0.0,0.0
ntvkenya's,3,0,0.000504007309566573,0.0,0.6666666666666666
sautadu,72,0,0.0004956061782932571,0.0,0.0012072434607645875
jayteemuro,12,1,0.0004939189228022763,0.0,0.03636363636363636
afro_254,86,0,0.0004893629840372804,0.0,0.002294893861158921
chege_manu,54,10,0.00048427117771838866,0.00011274192524906403,0.0023378141437755697
denzelistiredd,53,0,0.00048294074563980474,0.0,0.0
thekhrc,67,0,0.0004810917726441312,0.0,0.0009615384615384616
bigmanchunk,1,0,0.00047488391690066553,0.0,0.0
unhumanrights,27,0,0.0004738457274916518,0.0,0.04843304843304843
ray_omollo,21,0,0.0004713725187544902,0.0,0.08947368421052632
wangechikenya,58,0,0.0004700929301983166,0.0,0.0
gitz__,64,3,0.00045791568213095413,1.3928548765784629e-05,0.005879692446856626
rheen_ruby,59,0,0.0004566905676355908,0.0,0.0
un,16,0,0.00045655496391036246,0.0,0.075
teti_sulu,60,0,0.0004540549718991364,0.0,0.0
vocalafrica_,12,0,0.0004524102125228439,0.0,0.18181818181818182
ablatinc,46,0,0.0004515921535670616,0.0,0.0
mukiri_ndegwa,46,0,0.0004503516382698064,0.0,0.0
_omalicha__,68,7,0.00044764136708626485,0.0001242047628112734,0.008648648648648649
kbcchannel1,7,0,0.00044722586426583494,0.0,0.0
cvndyx,62,0,0.0004439645469483323,0.0,0.0005288207297726071
kajujezz,52,0,0.00044233364406278747,0.0,0.0
_humphreymugo,53,0,0.00043868825949474493,0.0,0.0
sakajajohnson,25,0,0.00043838528505391706,0.0,0.02
msnyaguthii,55,20,0.0004381072858505844,0.0,0.02511415525114155
dkmaraga,72,0,0.0004358222037681636,0.0,0.0012422360248447205
hiatuskariuki,34,0,0.000435549907024191,0.0,0.0
blessednjugush,7,0,0.00043554478600052064,0.0,0.0
mercymaira0,46,0,0.0004337866458655307,0.0,0.001932367149758454
ngendombugua,65,0,0.00043371640432873136,0.0,0.0
martinkinyuaa,22,0,0.00043168197415707885,0.0,0.004329004329004329
sc0fy_,60,0,0.0004303698462813813,0.0,0.0011299435028248588
bryan_emry,5,0,0.0004263465080633627,0.0,0.2
ashleymazuri,1,0,0.0004225818454690386,0.0,0.0
mrnoahkipkemboi,1,0,0.0004225818454690386,0.0,0.0
whatmacksays,112,0,0.00042184018095414656,0.0,0.00016087516087516087
brendawambui,49,0,0.00042079621131793947,0.0,0.005050505050505051
wanjerinderu,50,15,0.0004180290040182023,0.0002682757245292938,0.024854574299312534
rex_maina,69,3,0.00041504778538396786,9.962017169327278e-05,0.01056338028169014
ukinkenya,6,0,0.0004107059078949119,0.0,0.06666666666666667
crazy_kennar,1,0,0.0004096401444130272,0.0,0.0
mwangihub,43,0,0.0004084299991592112,0.0,0.0
husseinmohamedg,23,0,0.00040776773311405407,0.0,0.0
langata_,28,0,0.0004075845554153623,0.0,0.007936507936507936
mumbu_a2,40,0,0.0004061373072569178,0.0,0.0
4thpresidentke,2,0,0.000405609373472966,0.0,0.0
ziyaafrica,50,4,0.0004030246240675947,6.218668697252365e-06,0.01607267645003494
dylanpage910,1,0,0.000402265032906123,0.0,0.0
juliemwangi,28,18,0.0004001914450687443,0.002220121532971333,0.042682926829268296
hakiafrica,3,0,0.0003980059813680096,0.0,0.0
slywanjira,52,2,0.0003978345883354544,0.00010915984516784061,0.002795248078266946
kigutasheilaa,50,0,0.0003939572294312809,0.0,0.0
belive_kinuthia,16,2,0.00039290289312195995,3.056065430360864e-06,0.0
mugurenderitu,9,73,0.00038841883710676896,0.0005626993192098848,0.03183673469387755
bosibori_ke,76,1,0.00038645485730374096,3.807348181991243e-07,0.0
bigbadogre_,24,0,0.00038453630748435297,0.0,0.0
mitteiy,16,0,0.0003829934602141425,0.0,0.0
gideon_kitheka,16,17,0.0003826743451457227,8.566533409480298e-06,0.034482758620689655
fernanchh,64,0,0.0003805771918488041,0.0,0.0
shadongo,40,0,0.00037933573555421304,0.0,0.0
_juk_a,45,0,0.00037710689071634247,0.0,0.0
bungelamayut,43,0,0.0003758837833487847,0.0,0.0022148394241417496
kencascadedj,4,0,0.0003736602424079483,0.0,0.0
muli_brian_,90,0,0.0003729563583272579,0.0,0.0
bertram_hill1,3,0,0.0003712710276700719,0.0,0.0
eastleighvoice,65,0,0.0003698775988406444,0.0,0.0014423076923076924
katiwa_,35,0,0.0003681443216623687,0.0,0.0
cocoaunt_,38,0,0.00036731177666030757,0.0,0.0
benanuale,22,0,0.00036616383867485176,0.0,0.0
marykwamboks,49,0,0.0003653034541738629,0.0,0.0
breany_22,37,0,0.0003646320041342492,0.0,0.0
