node,in_degree,out_degree,pagerank,betweenness,clustering
38,1,0,0.00022885023774749992,0.0,0.0
126,1,0,0.00022885023774749992,0.0,0.0
33,1,0,0.00022885023774749992,0.0,0.0
1402,1,0,0.00022885023774749992,0.0,0.0
502,1,0,0.00022885023774749992,0.0,0.0
908,1,0,0.0002284622944900442,0.0,0.0
68,1,0,0.0002284622944900442,0.0,0.0
281,1,0,0.0002284622944900442,0.0,0.0
442,1,0,0.0002284622944900442,0.0,0.0
rixpoet,102,0,0.00022639222176133652,0.0,0.00039603960396039607
_mohkay,103,0,0.00022634294546563627,0.0,0.00039603960396039607
http://twitter.com/ngartia/statuses/1937722985378660482,63,0,0.00022583442516824746,0.0,0.0
beth_kasinga,89,0,0.0002246393588578443,0.0,0.00028011204481792715
edgarwabwire_,120,1,0.00021850193432046565,2.6456076299324046e-07,0.0004201680672268908
mackio_,62,0,0.00021835068668035005,0.0,0.0037017451084082496
http://twitter.com/mackio_/statuses/1943895539319550391,61,0,0.00021658939582126394,0.0,0.003278688524590164
siralexas,112,0,0.00021586563744086266,0.0,0.0
http://twitter.com/sholard_mancity/statuses/1939777706800926841,81,0,0.00021569231264257564,0.0,0.0
248,1,0,0.0002152226808037438,0.0,0.0
http://twitter.com/polo_kimanii/statuses/1934948800533066165,78,0,0.00021506366735465484,0.0,0.000333000333000333
http://twitter.com/migunamiguna/statuses/1931774109043642601,53,0,0.00021502264522433668,0.0,0.0
colonel_edu,64,0,0.00021410999292098033,0.0,0.0
izkctm,129,25,0.00021310756203057933,9.007191643407366e-05,0.01733477789815818
http://twitter.com/ellewoodsclon3/statuses/1937820769092022663,55,0,0.00021250504619610574,0.0,0.0
http://twitter.com/otienowill/statuses/1934951241248809447,37,0,0.0002124133342695292,0.0,0.0015015015015015015
http://twitter.com/quincywandera/statuses/1939726713648468191,73,0,0.0002106330077975551,0.0,0.0
mama_hawi,76,3,0.00021018885727854182,2.0172758178234583e-06,0.028562155144433627
http://twitter.com/sholard_mancity/statuses/1959484565010989084,57,0,0.00020991642539105448,0.0,0.0
http://twitter.com/kuwamocho_/statuses/1937783294218895422,75,0,0.00020928259108465115,0.0,0.0
drmumbiseraki,95,10,0.00020830474457055536,1.4550841964628225e-06,0.023564064801178203
http://twitter.com/thuso1africa/statuses/1938092182474543444,64,0,0.0002079712240949676,0.0,0.0
kevoh_254,104,19,0.00020675989586974676,6.4817386933343914e-06,0.017528610748949732
m_uthoni__,86,4,0.00020658705570321008,1.0053308993743137e-05,0.023529411764705882
50boyziick,60,0,0.00020533526638934633,0.0,0.0005844535359438924
http://twitter.com/nahashonkimemia/statuses/1937815108362633589,61,0,0.0002048808551031632,0.0,0.0
rtunguru,96,3,0.0002040286407265561,3.0865422349211383e-07,0.02104810996563574
nyamburah_,94,3,0.00020220457508649307,2.6456076299324046e-07,0.020618556701030927
http://twitter.com/lynn_ngugi1/statuses/1935744255852499388,49,0,0.00020215340596806835,0.0,0.0
http://twitter.com/ocelittos/statuses/1937837266975748230,65,0,0.00020060321994472318,0.0,0.0
ocelittos,65,0,0.00020060321994472318,0.0,0.0
15,6,0,0.00020016759634053856,0.0,0.0
http://twitter.com/iamrapcha/statuses/1937899017653899322,66,0,0.00019893659082859865,0.0,0.0
jahmu__,45,0,0.0001985698630730974,0.0,0.0
http://twitter.com/wanjiru2027/statuses/1943961600165306763,58,0,0.00019809262558600298,0.0,0.0006049606775559589
http://twitter.com/sholard_mancity/statuses/1931759911362506767,54,0,0.00019742702406526426,0.0,0.0
http://twitter.com/shobanes/statuses/1934928304278212616,62,0,0.00019688922172699926,0.0,0.0010576414595452142
http://twitter.com/fra_nk001/statuses/1937866480525185136,52,0,0.00019615904693336461,0.0,0.0
wnyakera,69,0,0.00019565852578989646,0.0,0.0
mwabilimwagodi,101,0,0.00019561213060098745,0.0,0.00020202020202020202
princejeff001tv,57,0,0.0001943098852236132,0.0,0.0
